Country,Year,Percentage
AUS,1975,0.016873798384399206
BEL,1975,0.016873798384399206
CAN,1975,0.016873798384399206
CHE,1975,0.016873798384399206
DEU,1975,0.038992072996084946
DNK,1975,0.016873798384399206
ESP,1975,0.025185305970761476
FIN,1975,0.016873798384399206
FRA,1975,0.026778403226714955
GBR,1975,0.06509049346644102
IRL,1975,0.016873798384399206
ITA,1975,0.016873798384399206
JPN,1975,0.10756823194370654
NLD,1975,0.016873798384399206
NOR,1975,0.016873798384399206
PRT,1975,0.016873798384399206
SWE,1975,0.016873798384399206
USA,1975,0.5338999117835006
AUS,1976,0.016710881977086867
BEL,1976,0.016710881977086867
CAN,1976,0.016710881977086867
CHE,1976,0.016710881977086867
DEU,1976,0.03441683036038331
DNK,1976,0.016710881977086867
ESP,1976,0.016710881977086867
FIN,1976,0.016710881977086867
FRA,1976,0.01765949334264273
GBR,1976,0.04492033401374415
IRL,1976,0.016710881977086867
ITA,1976,0.016710881977086867
JPN,1976,0.11659291746619571
NLD,1976,0.016710881977086867
NOR,1976,0.016710881977086867
PRT,1976,0.016710881977086867
SWE,1976,0.016710881977086867
USA,1976,0.5691689591149047
AUS,1977,0.016881079129484385
BEL,1977,0.016881079129484385
CAN,1977,0.11127343676248906
CHE,1977,0.01910071326824496
DEU,1977,0.04164625403387155
DNK,1977,0.016881079129484385
ESP,1977,0.016881079129484385
FIN,1977,0.016881079129484385
FRA,1977,0.01786636787234422
GBR,1977,0.07386463151649053
IRL,1977,0.016881079129484385
ITA,1977,0.016881079129484385
JPN,1977,0.016881079129484385
NLD,1977,0.016881079129484385
NOR,1977,0.016881079129484385
PRT,1977,0.016881079129484385
SWE,1977,0.016881079129484385
USA,1977,0.533675646992747
AUS,1978,0.01718957048201887
BEL,1978,0.01718957048201887
CAN,1978,0.10617401831128694
CHE,1978,0.022483991856468384
DEU,1978,0.049451046677010016
DNK,1978,0.01718957048201887
ESP,1978,0.01718957048201887
FIN,1978,0.01718957048201887
FRA,1978,0.026815159391902037
GBR,1978,0.07647528607600786
IRL,1978,0.01718957048201887
ITA,1978,0.01718957048201887
JPN,1978,0.02020672444443556
NLD,1978,0.01718957048201887
NOR,1978,0.01718957048201887
PRT,1978,0.01718957048201887
SWE,1978,0.01718957048201887
USA,1978,0.5093084979406817
AUS,1979,0.018134433770827855
BEL,1979,0.017302909004300197
CAN,1979,0.11126203940652483
CHE,1979,0.020287735301813048
DEU,1979,0.03697179787218044
DNK,1979,0.017302909004300197
ESP,1979,0.017302909004300197
FIN,1979,0.017302909004300197
FRA,1979,0.025728516638341133
GBR,1979,0.017302909004300197
IRL,1979,0.017302909004300197
ITA,1979,0.017302909004300197
JPN,1979,0.1346276885198718
NLD,1979,0.017302909004300197
NOR,1979,0.017302909004300197
PRT,1979,0.017302909004300197
SWE,1979,0.017302909004300197
USA,1979,0.46265578944313873
AUS,1980,0.021431733582315166
BEL,1980,0.017162872824291315
CAN,1980,0.10262018116691397
CHE,1980,0.017162872824291315
DEU,1980,0.02575883213972047
DNK,1980,0.017162872824291315
ESP,1980,0.017162872824291315
FIN,1980,0.017162872824291315
FRA,1980,0.019617009114272894
GBR,1980,0.017162872824291315
IRL,1980,0.017162872824291315
ITA,1980,0.017162872824291315
JPN,1980,0.13620563822167556
NLD,1980,0.017162872824291315
NOR,1980,0.017162872824291315
PRT,1980,0.017162872824291315
SWE,1980,0.017162872824291315
USA,1980,0.4884121318836063
AUS,1981,0.021323926800297
BEL,1981,0.016956351138366275
CAN,1981,0.016956351138366275
CHE,1981,0.016956351138366275
DEU,1981,0.02454086067187213
DNK,1981,0.016956351138366275
ESP,1981,0.016956351138366275
FIN,1981,0.016956351138366275
