year,iso_domestic,asset_class,return
1921,JPN,Equities,0.03606002349457872
1889,DNK,Equities,0.10146771469230073
1995,AUS,Equities,0.21112586876747114
1905,ESP,Equities,0.0845022899676155
1914,NOR,Equities,0.0003108711857754357
1988,AUS,Equities,0.08709871610354156
1894,DEU,Equities,0.08911380381951842
1897,JPN,Equities,0.04511615368300672
1969,ITA,Equities,0.008763704225985759
1931,DEU,Equities,-0.303909213943867
1982,SWE,Equities,0.2980341511814095
1906,SWE,Equities,0.1056605324898027
1991,NOR,Equities,0.06342740245217057
1991,BEL,Equities,0.09505800723235978
2007,FRA,Equities,0.03413472323284303
1967,SWE,Equities,0.1692113512695317
1935,ESP,Equities,0.2875637576844602
1910,ITA,Equities,0.013318541627802284
1897,FRA,Equities,0.08848914578063122
1921,DEU,Equities,0.513485833414892
1897,PRT,Equities,0.13782873471834076
1989,NLD,Equities,0.2106910157031514
2010,ESP,Equities,0.11577417366596157
2014,DEU,Equities,0.14452702370162668
1910,CHE,Equities,0.017225326713449958
1926,NOR,Equities,0.028107908511486934
2005,CHE,Equities,0.2296243358945126
1969,FRA,Equities,0.06643436787794649
1911,ITA,Equities,0.03722213335976974
1965,JPN,Equities,0.0852395319660422
1926,DEU,Equities,0.30273879447169816
1986,DNK,Equities,0.22589430077009248
1995,GBR,Equities,0.19397310751682878
1913,DNK,Equities,-0.02176287967831882
1949,DNK,Equities,0.1340423077123279
1965,ESP,Equities,0.09034353802132249
1959,SWE,Equities,0.27888473081337234
1941,ESP,Equities,0.13548503669843048
1919,NLD,Equities,0.1877233482393546
1911,CHE,Equities,0.04177978641379862
1909,BEL,Equities,0.1414107401946484
1890,SWE,Equities,0.007036930335998491
2008,ITA,Equities,-0.3820919358870248
1920,SWE,Equities,-0.18519832500988756
1881,FRA,Equities,0.15940123727286706
1986,PRT,Equities,0.41555838692862057
1949,GBR,Equities,0.34954712735793225
1887,NOR,Equities,0.017915769443418612
1958,PRT,Equities,0.26795448588588944
2007,DNK,Equities,0.040304156613590665
1988,FIN,Equities,0.20997723438852411
1974,GBR,Equities,-0.26121518312927977
1926,FIN,Equities,0.1801457034095752
1982,DNK,Equities,0.21357720478244374
1993,CHE,Equities,0.2672438014282109
1883,FRA,Equities,0.01189875523914526
1973,ESP,Equities,-0.025522155966071207
1928,AUS,Equities,0.2589732041380871
1926,JPN,Equities,0.08818985377654912
2011,PRT,Equities,-0.05302718219510455
1953,BEL,Equities,0.08238754007264987
1936,DEU,Equities,0.2697967472339188
1918,DNK,Equities,0.1774553827769706
2003,DNK,Equities,0.1712787457636786
1922,NOR,Equities,0.14008517443615254
1953,DNK,Equities,0.06701597877763499
1973,FIN,Equities,0.0036362043601667338
2017,FIN,Equities,0.12658582722337255
1996,FRA,Equities,0.2653838920168974
1965,BEL,Equities,0.07058541365883793
1952,JPN,Equities,0.2107825894943686
1984,SWE,Equities,0.1277376284613877
1879,FRA,Equities,0.22232386536167256
1943,PRT,Equities,0.15165761735837047
1906,FRA,Equities,0.09253837978672426
1998,ESP,Equities,0.20086920188228763
1944,FIN,Equities,0.10839903963431853
1897,BEL,Equities,0.08311196441070501
1963,CHE,Equities,0.15341811822457793
1999,AUS,Equities,0.21370260240808014
1982,NLD,Equities,0.16103863680810593
1965,GBR,Equities,0.08708165502310809
1998,BEL,Equities,0.2013168067364321
2001,PRT,Equities,-0.1400096223679626
1880,PRT,Equities,0.16203807257131705
1947,SWE,Equities,0.056786831878649933
1878,DNK,Equities,0.06081161424613685
1999,NLD,Equities,0.34835752956470056
1961,CHE,Equities,0.24569214314270904
1953,JPN,Equities,0.17453743113487827
1982,CHE,Equities,0.16795587070558957
1958,NOR,Equities,0.24692861025004864
1902,PRT,Equities,0.02273164978448821
1960,SWE,Equities,0.04063262856910297
1927,ITA,Equities,0.12738590346910622
1964,PRT,Equities,0.11621023589618398
1941,DNK,Equities,0.11773869962013792
1979,PRT,Equities,0.21752043308093338
1927,ESP,Equities,0.1889986048424
1934,JPN,Equities,0.051451532927466875
1922,JPN,Equities,0.24640352475846028
1891,JPN,Equities,0.03191721851567741
1927,AUS,Equities,0.2364052700069205
1927,CHE,Equities,0.2540742613797911
1955,SWE,Equities,0.2017002010820054
1979,DEU,Equities,0.08933828963278444
1967,GBR,Equities,0.28316156433633505
2017,BEL,Equities,0.1174706701529323
1978,AUS,Equities,0.13572119728808604
1938,DNK,Equities,0.03878043067433281
2012,AUS,Equities,0.14535408035656186
1890,FRA,Equities,0.007243317241416664
1977,NLD,Equities,-0.015517313443664593
1902,ITA,Equities,0.038341929575583376
1961,ITA,Equities,0.18589594265979764
1886,DNK,Equities,0.07810084868314254
1931,FRA,Equities,-0.30405297442435625
1946,PRT,Equities,-0.01167426991223588
1967,DNK,Equities,0.18028228916062394
2002,ITA,Equities,-0.24888343023127413
1942,NLD,Equities,0.17418349015459392
1965,SWE,Equities,0.09344316702667177
1984,ITA,Equities,0.18685667828953503
1887,USA,Equities,0.02254801992983279
2016,PRT,Equities,0.04527841878582032
2012,BEL,Equities,0.17535978397789725
1905,FIN,Equities,0.13752851044473613
1966,CHE,Equities,-0.06973657867080241
1942,CHE,Equities,0.16757345827539652
1971,FIN,Equities,0.15824358921190396
1959,ITA,Equities,0.29073876140830807
1900,CHE,Equities,0.07646231258713032
1905,NOR,Equities,0.13251143548918698
2008,GBR,Equities,-0.2743454709791782
1921,NOR,Equities,-0.015674024369612412
2006,DEU,Equities,0.17063697534327624
2011,JPN,Equities,-0.06617744195264276
2008,DNK,Equities,-0.388084268697071
1994,SWE,Equities,0.005449477512550265
1929,PRT,Equities,-0.07922636777343685
1974,ITA,Equities,-0.21681217807339168
1943,SWE,Equities,0.16452661671593713
1929,FIN,Equities,-0.07867128108097102
1954,BEL,Equities,0.4428771771694484
1958,AUS,Equities,0.30040827910775747
1988,CHE,Equities,0.25433334448466033
1895,SWE,Equities,0.10664037098023718
1875,FRA,Equities,0.059242532638381085
1987,FIN,Equities,0.17713688876006026
1925,FRA,Equities,0.25596627682806183
1886,DEU,Equities,0.07425460087021435
2001,DEU,Equities,-0.13755902601584452
1896,FIN,Equities,0.08846979030084096
1881,DNK,Equities,0.15304997391992792
1917,FIN,Equities,-0.034472467949718935
2010,PRT,Equities,0.12361945036407226
1972,NOR,Equities,0.24484584329822043
1963,FRA,Equities,0.13110214354454566
2012,PRT,Equities,0.1335334526672506
1933,FIN,Equities,0.30936623389590884
1994,ESP,Equities,-0.002553119422603377
1994,AUS,Equities,-0.02777826504197653
1964,BEL,Equities,0.09280620831924907
1928,BEL,Equities,0.26850151707034836
1926,SWE,Equities,0.1534491611979912
1935,AUS,Equities,0.23931326969121797
1916,SWE,Equities,0.12154554238868367
1956,NLD,Equities,0.06334362172258629
1935,FIN,Equities,0.2450829874249533
1985,DNK,Equities,0.23219417495040362
1961,NOR,Equities,0.1895383334421615
1894,BEL,Equities,0.10169692193842624
1923,FRA,Equities,0.23710901800786965
1923,PRT,Equities,0.3157744348925398
1933,FRA,Equities,0.23114547723427958
1974,DNK,Equities,-0.2672666552475672
1912,DEU,Equities,0.05236603811518134
1958,ESP,Equities,0.2550863322584947
1938,PRT,Equities,0.04089116524399719
1958,CHE,Equities,0.30821757949144896
1946,FIN,Equities,0.7418435530801195
1881,DEU,Equities,0.16163323774936697
1931,ITA,Equities,-0.2969924292905793
1921,CHE,Equities,0.00482316876134865
1883,DNK,Equities,0.018449834347205527
2017,DEU,Equities,0.13315038387700143
1886,FRA,Equities,0.07216366667141463
1926,ITA,Equities,0.08959741355708631
1942,DEU,Equities,0.18139094198090425
1982,FIN,Equities,0.2553018121460431
1992,PRT,Equities,0.028487424680378532
1946,ITA,Equities,0.2590561731254106
1908,AUS,Equities,0.14322112709405813
1901,BEL,Equities,0.0352326430254891
1982,BEL,Equities,0.23971641967753524
1912,NOR,Equities,0.04528788311034607
1897,DEU,Equities,0.08801928584809018
1920,BEL,Equities,-0.027751926331307825
1965,NLD,Equities,0.06964143820743146
1964,JPN,Equities,0.0776292197946754
1935,BEL,Equities,0.42352193301454366
1900,ESP,Equities,0.09124817261172072
1971,DEU,Equities,0.09232077782136552
1926,PRT,Equities,0.13231220865485405
1985,PRT,Equities,0.4926550761459501
1988,ESP,Equities,0.17490286211164371
1939,CHE,Equities,-0.0003908990260844507
1997,FRA,Equities,0.3371803715785397
1983,SWE,Equities,0.3788343336979586
1975,NOR,Equities,0.3203582926521874
1899,NOR,Equities,0.058481117349835604
1920,DNK,Equities,-0.04884808406360947
2019,BEL,Equities,0.16075843054103328
1920,DEU,Equities,0.6050583803780132
1912,PRT,Equities,0.06171520152005219
1874,SWE,Equities,0.044221902694855056
1933,PRT,Equities,0.27013161406419745
1953,NLD,Equities,0.09157169207980975
2009,NLD,Equities,0.2870855258014452
1912,AUS,Equities,0.05538712827694609
1951,NOR,Equities,0.1681461433671092
1910,NOR,Equities,0.01826204544386741
1999,CHE,Equities,0.3237517874947446
1879,DNK,Equities,0.2147402158319153
2017,FRA,Equities,0.13515231220346785
1964,NLD,Equities,0.11131452002221928
1982,FRA,Equities,0.19270518291552974
1904,NOR,Equities,0.13343116609957337
2006,SWE,Equities,0.15624312447163116
1917,CHE,Equities,-0.03157822490845223
1933,NOR,Equities,0.1699283193397747
1973,DNK,Equities,0.02687869410065165
1998,NLD,Equities,0.1755839377489668
1998,CHE,Equities,0.17180094910840735
2004,BEL,Equities,0.17181943231517516
1970,AUS,Equities,-0.008009065806220631
1906,FIN,Equities,0.09116419140340389
1923,ESP,Equities,0.1044951980356093
1954,DNK,Equities,0.41518547153090124
2014,SWE,Equities,0.1908718877748907
1954,ESP,Equities,0.4378992385692641
1966,ITA,Equities,-0.05353025149759008
1928,ITA,Equities,0.2552511840833257
2013,BEL,Equities,0.262727143012145
1910,JPN,Equities,0.05332279176653359
1902,ESP,Equities,0.04976540079142086
1929,ITA,Equities,-0.07462570717980568
1977,AUS,Equities,0.00021499993917925217
1914,DNK,Equities,-0.02015356873673929
1987,ITA,Equities,0.12013531093002616
2011,ITA,Equities,-0.05428926529857017
1963,NOR,Equities,0.16931504216013885
2001,DNK,Equities,-0.134393998227962
1934,SWE,Equities,0.17139579624718562
1993,DNK,Equities,0.23933037362915843
1901,CHE,Equities,0.06161772133280908
1916,DNK,Equities,0.1400788224251422
1968,ITA,Equities,0.17502519640133132
2008,ESP,Equities,-0.36899786895400555
1952,DEU,Equities,0.15657294604507047
1983,AUS,Equities,0.3660041985523652
1988,FRA,Equities,0.2839153461649008
1904,FRA,Equities,0.14749055924018709
1906,ESP,Equities,0.031911609502698425
1963,FIN,Equities,0.16002954883136203
1936,PRT,Equities,0.23758377547028783
1973,AUS,Equities,-0.1147428110183846
1979,FIN,Equities,0.13145542755174433
1958,JPN,Equities,0.2781720675067618
1949,ITA,Equities,0.17159293324898642
1996,CHE,Equities,0.30270996750809864
