year,iso,debt_share
1871,BEL,0.015225448115037916
1871,DEU,0.09078147235290648
1871,GBR,0.4202577582567666
1871,ITA,0.1760373115737478
1871,NLD,0.0406398720380938
1871,PRT,0.03514868016194226
1871,SWE,0.003539580938445642
1871,USA,0.21836987656305948
1872,BEL,0.0154629628056855
1872,DEU,0.06833215716434099
1872,GBR,0.43551166360256865
1872,ITA,0.18184690206526632
1872,NLD,0.0420413639503388
1872,PRT,0.03655872503036818
1872,SWE,0.0037221708387854893
1872,USA,0.21652405454264614
1873,BEL,0.020949620902256633
1873,DEU,0.06814992965158465
1873,GBR,0.4316164170380201
1873,ITA,0.1815663218797276
1873,NLD,0.04306332605295965
1873,PRT,0.03781442022354063
1873,SWE,0.003689252729528882
1873,USA,0.2131507115223819
1874,BEL,0.021561014293818955
1874,DEU,0.06458074963837124
1874,GBR,0.43506568624070313
1874,ITA,0.17252619234764846
1874,NLD,0.043149294081892144
1874,PRT,0.04156778073091803
1874,SWE,0.003916390294490483
1874,USA,0.2176328923721576
1875,BEL,0.021731939687798386
1875,DEU,0.0710126236656131
1875,GBR,0.4279657961374706
1875,ITA,0.18016828024181308
1875,NLD,0.04277962579347967
1875,PRT,0.04236132002733537
1875,SWE,0.00418189232883126
1875,USA,0.20979852211765843
1876,BEL,0.02199187020364301
1876,DEU,0.08133125863832515
1876,GBR,0.41272879112760497
1876,ITA,0.19384711296917953
1876,NLD,0.04072594921799961
1876,PRT,0.04120201403628622
1876,SWE,0.005015522697576077
1876,USA,0.2031574811093854
1877,BEL,0.023432434398308128
1877,DEU,0.09050795671130328
1877,GBR,0.4002087684058384
1877,ITA,0.18977617969383603
1877,NLD,0.03980223482601309
1877,PRT,0.041955786017271714
1877,SWE,0.005046328717219673
1877,USA,0.20927031123020973
1878,BEL,0.024713729860208825
1878,DEU,0.08964811160119815
1878,GBR,0.39160825608877525
1878,ITA,0.18734508179848416
1878,NLD,0.03906888247202526
1878,PRT,0.04369530932556125
1878,SWE,0.005769461017708097
1878,USA,0.21815116783603902
1879,BEL,0.02429119076413802
1879,DEU,0.10501750930075264
1879,GBR,0.3800091957146494
1879,ITA,0.17815461401877514
1879,NLD,0.0379449597928547
1879,PRT,0.04296692080762676
1879,SWE,0.005778030082755256
1879,USA,0.22583757951844805
1880,BEL,0.018429447676702338
1880,DEU,0.08093781345615458
1880,DNK,0.0036616369886018226
1880,FRA,0.313300220251528
1880,GBR,0.257900009920744
1880,ITA,0.12203063947493488
1880,NLD,0.026306449267725733
1880,NOR,0.0020438865167175225
1880,PRT,0.03048173719922326
1880,SWE,0.004142860233833551
1880,USA,0.1407652990138343
1881,BEL,0.018103272302746536
1881,DEU,0.08105828140274655
1881,DNK,0.003447594991231536
1881,FRA,0.310812081095204
1881,GBR,0.24631807333213934
1881,ITA,0.1364646225472771
1881,JPN,0.014553011589138805
1881,NLD,0.025215137700492423
1881,NOR,0.001957990143105212
1881,PRT,0.028363257419833695
1881,SWE,0.004002305262100046
1881,USA,0.1297043722139847
1882,BEL,0.01969517813823309
1882,DEU,0.0878679798578822
1882,DNK,0.003417253928500778
1882,FRA,0.30860003232043587
1882,GBR,0.24280631021229354
1882,ITA,0.14485631626361092
1882,JPN,0.01400016410781832
1882,NLD,0.025414872928992086
1882,NOR,0.001943885072959371
1882,PRT,0.029401693052486452
1882,SWE,0.0039060200728037358
1882,USA,0.11809029404398368
1883,BEL,0.02142093856042853
1883,DEU,0.09460392233676167
1883,DNK,0.003332463578499006
1883,FRA,0.31799113948653146
1883,GBR,0.23822305925214865
1883,ITA,0.14325168878028452
1883,JPN,0.013012988739860946
1883,NLD,0.02504402711775955
1883,NOR,0.0018734838787092384
1883,PRT,0.029597882121217677
1883,SWE,0.0038112008611939714
1883,USA,0.10783720528660483
1884,BEL,0.02179603584383724
1884,DEU,0.10487111486356983
1884,DNK,0.003343532170587367
1884,FRA,0.3339920722391824
1884,GBR,0.21296758003387548
1884,ITA,0.14507969842433255
1884,JPN,0.013788931885695183
1884,NLD,0.02560525641064685
1884,NOR,0.0019148784594868959
1884,PRT,0.029770693060065537
1884,SWE,0.003881283769439387
1884,USA,0.10298892283928131
1885,BEL,0.021404838769603123
1885,DEU,0.10665181871061831
1885,DNK,0.0032478356744474425
1885,FRA,0.33947416869875124
1885,GBR,0.21171908124660666
1885,ITA,0.14132181385110817
1885,JPN,0.01352055622585172
1885,NLD,0.02555099040656315
1885,NOR,0.00188831987843735
1885,PRT,0.03251451740468494
1885,SWE,0.004123364410806874
1885,USA,0.09858269472252096
1886,BEL,0.022960704038301735
1886,DEU,0.10738103768077321
1886,DNK,0.003238216044062477
1886,FRA,0.3420938219226138
1886,GBR,0.20995384442618145
1886,ITA,0.14146429552614262
1886,JPN,0.012145446867229445
1886,NLD,0.025760198062356753
1886,NOR,0.0019296405502142319
1886,PRT,0.032936673815753305
1886,SWE,0.00406243383172757
1886,USA,0.09607368723464345
1887,BEL,0.02262562074602456
1887,DEU,0.11406679678536795
1887,DNK,0.003150698180586356
1887,FRA,0.3437367408749414
1887,GBR,0.2078108590613487
1887,ITA,0.14020689087391897
1887,JPN,0.012154208717710936
1887,NLD,0.028257731668305627
1887,NOR,0.0018802943647079557
1887,PRT,0.03287080308488834
1887,SWE,0.004009239714676584
1887,USA,0.08923011592752268
1888,BEL,0.022766874806567604
1888,DEU,0.11442806116720974
1888,DNK,0.0031109509044614614
1888,FRA,0.3496717353727557
1888,GBR,0.2009768334698609
1888,ITA,0.14528419371390378
1888,JPN,0.011258708533553293
1888,NLD,0.028299396097270113
1888,NOR,0.0020555217801638665
1888,PRT,0.033685267983772985
1888,SWE,0.004313415331249054
1888,USA,0.08414904083923148
1889,BEL,0.023325631744374974
1889,DEU,0.12309576148471196
1889,DNK,0.0030613035880989008
1889,FRA,0.3515847761150275
1889,GBR,0.19442820535736682
1889,ITA,0.14845709365731072
1889,JPN,0.011382796068720299
1889,NLD,0.028259604576276
1889,NOR,0.0020235269671133715
1889,PRT,0.03442386130179742
1889,SWE,0.004207870472647141
1889,USA,0.07574956866655502
1890,BEL,0.023427789943794155
1890,DEU,0.13114344342498452
1890,DNK,0.003023386943158999
1890,FRA,0.35061977590038185
1890,GBR,0.1931173091604016
1890,ITA,0.14750559844060304
1890,JPN,0.013817984755190032
1890,NLD,0.02811304905946971
1890,NOR,0.002041250964616885
1890,PRT,0.035151094340908115
1890,SWE,0.004192477950313386
1890,USA,0.06784683911617767
1891,BEL,0.023454499252967827
1891,DEU,0.14421948562711986
1891,DNK,0.0029480149609390836
1891,FRA,0.3483435185973432
1891,GBR,0.19187055622382795
1891,ITA,0.14903750091510723
1891,JPN,0.011597193986973701
1891,NLD,0.027720185898461574
1891,NOR,0.0021430791019232866
1891,PRT,0.03479165046013497
1891,SWE,0.004214438775163997
1891,USA,0.0596598762000373
1892,BEL,0.023963167999837068
1892,DEU,0.15100110325166757
1892,DNK,0.002923179823775575
1892,FRA,0.35067640162225644
1892,GBR,0.19087455845289647
1892,ITA,0.14845291827410673
1892,JPN,0.010993188271828607
1892,NLD,0.02782413217348526
1892,NOR,0.0021507924067927773
1892,PRT,0.02950626434385854
1892,SWE,0.004359898800098382
1892,USA,0.05727439457939656
1893,BEL,0.023254568123243172
1893,DEU,0.15498167998438006
1893,DNK,0.0028879833202511925
1893,FRA,0.35405717852489205
1893,GBR,0.18994600395733802
1893,ITA,0.141905971167797
1893,JPN,0.008410693701621298
1893,NLD,0.028580041657897327
1893,NOR,0.0027482716559291648
1893,PRT,0.03204872028142913
1893,SWE,0.004413583259286351
1893,USA,0.05676530436593524
1894,BEL,0.022925201702406185
1894,DEU,0.15868552116751852
1894,DNK,0.0032774943600586493
1894,FRA,0.3513050141079986
1894,GBR,0.1848548321222634
1894,ITA,0.14354317546953127
1894,JPN,0.011305937619564263
1894,NLD,0.028284828905286268
1894,NOR,0.00243279857965581
1894,PRT,0.02947962197078872
1894,SWE,0.004602053216773075
1894,USA,0.059303520778155205
1895,BEL,0.02381495175894744
1895,DEU,0.16298285132900436
1895,DNK,0.003068327765010316
1895,FRA,0.34400966550571355
1895,GBR,0.18172818508218938
1895,ITA,0.14710616977194615
1895,JPN,0.010752321293302926
1895,NLD,0.027474274032635363
1895,NOR,0.0026263523362048046
1895,PRT,0.029351703535881374
1895,SWE,0.00442255191314492
1895,USA,0.06266264567601934
1896,BEL,0.0239892823884888
1896,DEU,0.16719630002647645
1896,DNK,0.0030242692390092412
1896,FRA,0.3349297182122961
1896,GBR,0.1787047496395506
1896,ITA,0.14673935474752764
1896,JPN,0.01110960554396738
1896,NLD,0.027722083873863296
1896,NOR,0.002986303214291205
1896,PRT,0.029073185828532775
1896,SWE,0.004498960905451365
1896,USA,0.07002618638054516
1897,BEL,0.024897583567521236
1897,DEU,0.169458675688344
1897,DNK,0.003167780702695029
1897,FRA,0.329735294457433
1897,GBR,0.17832696709814297
1897,ITA,0.15067065998154552
1897,JPN,0.011203252627801084
1897,NLD,0.027593757821938857
1897,NOR,0.0029604780944379244
1897,PRT,0.02810604509728993
1897,SWE,0.004414234659729146
