year,iso_domestic,iso_foreign
1900,BEL,AUS
1900,CHE,AUS
1900,DEU,AUS
1900,DNK,AUS
1900,ESP,AUS
1900,FIN,AUS
1900,FRA,AUS
1900,ITA,AUS
1900,JPN,AUS
1900,NLD,AUS
1900,NOR,AUS
1900,PRT,AUS
1900,SWE,AUS
1901,BEL,AUS
1901,CHE,AUS
1901,DEU,AUS
1901,DNK,AUS
1901,ESP,AUS
1901,FIN,AUS
1901,FRA,AUS
1901,ITA,AUS
1901,JPN,AUS
1901,NLD,AUS
1901,NOR,AUS
1901,PRT,AUS
1901,SWE,AUS
1902,BEL,AUS
1902,CHE,AUS
1902,DEU,AUS
1902,DNK,AUS
1902,ESP,AUS
1902,FIN,AUS
1902,FRA,AUS
1902,ITA,AUS
1902,JPN,AUS
1902,NLD,AUS
1902,NOR,AUS
1902,PRT,AUS
1902,SWE,AUS
1903,BEL,AUS
1903,CHE,AUS
1903,DEU,AUS
1903,DNK,AUS
1903,ESP,AUS
1903,FIN,AUS
1903,FRA,AUS
1903,ITA,AUS
1903,JPN,AUS
1903,NLD,AUS
1903,NOR,AUS
1903,PRT,AUS
1903,SWE,AUS
1904,BEL,AUS
1904,CHE,AUS
1904,DEU,AUS
1904,DNK,AUS
1904,ESP,AUS
1904,FIN,AUS
1904,FRA,AUS
1904,ITA,AUS
1904,JPN,AUS
1904,NLD,AUS
1904,NOR,AUS
1904,PRT,AUS
1904,SWE,AUS
1905,BEL,AUS
1905,CHE,AUS
1905,DEU,AUS
1905,DNK,AUS
1905,ESP,AUS
1905,FIN,AUS
1905,FRA,AUS
1905,ITA,AUS
1905,JPN,AUS
1905,NLD,AUS
1905,NOR,AUS
1905,PRT,AUS
1905,SWE,AUS
1906,BEL,AUS
1906,CHE,AUS
1906,DEU,AUS
1906,DNK,AUS
1906,ESP,AUS
1906,FIN,AUS
1906,FRA,AUS
1906,ITA,AUS
1906,JPN,AUS
1906,NLD,AUS
1906,NOR,AUS
1906,PRT,AUS
1906,SWE,AUS
1907,BEL,AUS
1907,CHE,AUS
1907,DEU,AUS
1907,DNK,AUS
1907,ESP,AUS
1907,FIN,AUS
1907,FRA,AUS
1907,ITA,AUS
1907,JPN,AUS
1907,NLD,AUS
1907,NOR,AUS
1907,PRT,AUS
1907,SWE,AUS
1908,BEL,AUS
1908,CHE,AUS
1908,DEU,AUS
1908,DNK,AUS
1908,ESP,AUS
1908,FIN,AUS
1908,FRA,AUS
1908,ITA,AUS
1908,JPN,AUS
1908,NLD,AUS
1908,NOR,AUS
1908,PRT,AUS
1908,SWE,AUS
1909,BEL,AUS
1909,CHE,AUS
1909,DEU,AUS
1909,DNK,AUS
1909,ESP,AUS
1909,FIN,AUS
1909,FRA,AUS
1909,ITA,AUS
1909,JPN,AUS
1909,NLD,AUS
1909,NOR,AUS
1909,PRT,AUS
1909,SWE,AUS
1910,BEL,AUS
1910,CHE,AUS
1910,DEU,AUS
1910,DNK,AUS
1910,ESP,AUS
1910,FIN,AUS
1910,FRA,AUS
1910,ITA,AUS
1910,JPN,AUS
1910,NLD,AUS
1910,NOR,AUS
1910,PRT,AUS
1910,SWE,AUS
1911,BEL,AUS
1911,CHE,AUS
1911,DEU,AUS
1911,DNK,AUS
1911,ESP,AUS
1911,FIN,AUS
1911,FRA,AUS
1911,ITA,AUS
1911,JPN,AUS
1911,NLD,AUS
1911,NOR,AUS
1911,PRT,AUS
1911,SWE,AUS
1912,BEL,AUS
1912,CHE,AUS
1912,DEU,AUS
1912,DNK,AUS
1912,ESP,AUS
1912,FIN,AUS
1912,FRA,AUS
1912,ITA,AUS
1912,JPN,AUS
1912,NLD,AUS
1912,NOR,AUS
1912,PRT,AUS
1912,SWE,AUS
1913,BEL,AUS
1913,CHE,AUS
1913,DEU,AUS
1913,DNK,AUS
1913,ESP,AUS
1913,FIN,AUS
1913,FRA,AUS
1913,ITA,AUS
1913,JPN,AUS
1913,NLD,AUS
1913,NOR,AUS
1913,PRT,AUS
1913,SWE,AUS
1914,CHE,AUS
1914,DEU,AUS
1914,DNK,AUS
1914,ESP,AUS
1914,FIN,AUS
1914,FRA,AUS
1914,ITA,AUS
1914,JPN,AUS
1914,NLD,AUS
1914,NOR,AUS
1914,PRT,AUS
1914,SWE,AUS
1915,DEU,AUS
1915,ESP,AUS
1915,FIN,AUS
1915,JPN,AUS
1915,NLD,AUS
1915,NOR,AUS
1915,PRT,AUS
1915,SWE,AUS
1916,CHE,AUS
1916,DEU,AUS
1916,DNK,AUS
1916,ESP,AUS
1916,FIN,AUS
1916,JPN,AUS
1916,NLD,AUS
1916,NOR,AUS
1916,PRT,AUS
1916,SWE,AUS
1917,CHE,AUS
1917,DEU,AUS
1917,DNK,AUS
1917,ESP,AUS
1917,FIN,AUS
1917,JPN,AUS
1917,NLD,AUS
1917,NOR,AUS
1917,PRT,AUS
1917,SWE,AUS
1918,CHE,AUS
1918,DEU,AUS
1918,DNK,AUS
1918,ESP,AUS
1918,FIN,AUS
1918,JPN,AUS
1918,NLD,AUS
1918,NOR,AUS
1918,PRT,AUS
1918,SWE,AUS
1919,CHE,AUS
1919,DEU,AUS
1919,DNK,AUS
1919,ESP,AUS
1919,FIN,AUS
1919,JPN,AUS
1919,NLD,AUS
1919,NOR,AUS
1919,PRT,AUS
1919,SWE,AUS
1920,BEL,AUS
1920,CHE,AUS
1920,DEU,AUS
1920,DNK,AUS
1920,ESP,AUS
1920,FIN,AUS
1920,JPN,AUS
1920,NLD,AUS
1920,NOR,AUS
1920,PRT,AUS
1920,SWE,AUS
1921,BEL,AUS
1921,CHE,AUS
1921,DEU,AUS
1921,DNK,AUS
1921,ESP,AUS
1921,FIN,AUS
1921,JPN,AUS
1921,NLD,AUS
1921,NOR,AUS
1921,PRT,AUS
1921,SWE,AUS
