iso_domestic,asset_class,weights_sum_check,foreign_tr_hedged_mean,foreign_tr_hedged_std,foreign_tr_unhedged_mean,foreign_tr_unhedged_std,domestic_tr_mean,domestic_tr_std
AUS,Bills,true,,,,,0.04965757702818563,0.03245072540707608
AUS,Bonds,true,0.05274129223206143,0.06493863077451992,0.08121821807998446,0.17332373361900275,0.05948330082543889,0.0809857957482639
AUS,CPI,true,,,,,0.03829410609686722,0.04546250735175027
AUS,Equities,true,0.10416320156060584,0.13938389883639662,0.1229459600415762,0.17151291661254306,0.11670258387102414,0.1706242489111856
BEL,Bills,true,,,,,0.03711297082965459,0.028972980421084336
BEL,Bonds,true,0.053752170736810906,0.05879240808686646,0.07636361633110252,0.11741095961269912,0.05739862611153512,0.08167124919341189
BEL,CPI,true,,,,,0.0342405217019163,0.11196430218854693
BEL,Equities,true,0.0989064669260441,0.12939842826473272,0.1182509369614792,0.16960836377377214,0.09387055616550949,0.22928975070898513
CHE,Bills,true,,,,,0.0275826596368046,0.019013692060831793
CHE,Bonds,true,0.052822805266929285,0.06495104892619816,0.04927317037212061,0.1105324689126234,0.0422899461647224,0.04722956812691327
CHE,CPI,true,,,,,0.02149368777902509,0.04926462779404957
CHE,Equities,true,0.1038073441997796,0.1384985263532959,0.09573282130224214,0.16487876622659386,0.08785511533060344,0.18404612089361336
DEU,Bills,true,,,,,0.040021113748158504,0.022548782581628932
DEU,Bonds,true,0.05239203811953192,0.062012035014660356,0.2757209762337889,1.8587822920673633,0.057801495392080654,0.05599326796511629
DEU,CPI,true,,,,,0.160955321922433,1.052134846003751
DEU,Equities,true,0.09875395146582468,0.12958761862142815,0.3412251090084912,2.0474245735601735,0.2682006887381675,1.7409916429937007
DNK,Bills,true,,,,,0.055609674420533384,0.032452454734838196
DNK,Bonds,true,0.05156609993732742,0.05931167815290603,0.06678435715664485,0.11624237368112232,0.061195560658735965,0.09552077666680474
DNK,CPI,true,,,,,0.027943753249141057,0.05885399800754792
DNK,Equities,true,0.0973446938054264,0.12983254852602621,0.10735667116789296,0.15463275541428578,0.1052487120750874,0.17656493175146848
ESP,Bills,true,,,,,0.051069782253676296,0.04361147729822254
ESP,Bonds,true,0.05289736682934032,0.06588162105425106,0.10089739523157433,0.21548940583513584,0.06672102923747962,0.07127294351261837
ESP,CPI,true,,,,,0.055992591569712265,0.07714171540680147
ESP,Equities,true,0.10656778127187548,0.13904759585064233,0.14482531105228366,0.20894754445324396,0.1159177221666497,0.21266733746758856
FIN,Bills,true,,,,,0.05014813134931616,0.03226844226807516
FIN,Bonds,true,0.051525230705725664,0.06366910283931114,0.12572842572101126,0.33169886281393085,0.07761951430980116,0.10977430648031787
FIN,CPI,true,,,,,0.08097131826124228,0.24305179240713357
FIN,Equities,true,0.1023704806651917,0.13570973064097946,0.1738169303808875,0.3654265528857722,0.15419343266659416,0.30241143796880193
FRA,Bills,true,,,,,0.039727596872386604,0.030996693177317153
FRA,Bonds,true,0.053478700664801995,0.05863433532546266,0.12063175675316258,0.482754606047898,0.060401732898423106,0.09556260827428587
FRA,CPI,true,,,,,0.05204424295528588,0.10161432537617086
FRA,Equities,true,0.10084974337444656,0.12830754695626237,0.16220033292229305,0.46992183764066425,0.08725546494735262,0.2146379123813226
GBR,Bills,true,,,,,0.040745913248334625,0.03276894425586693
GBR,Bonds,true,0.05297966678708965,0.05490731890268954,0.07698151958294815,0.14732247841592647,0.05316970610108304,0.10425530265217733
