year,iso
1900,AUS
1901,AUS
1902,AUS
1903,AUS
1904,AUS
1905,AUS
1906,AUS
1907,AUS
1908,AUS
1909,AUS
1910,AUS
1911,AUS
1912,AUS
1913,AUS
1914,AUS
1915,AUS
1916,AUS
1917,AUS
1918,AUS
1919,AUS
1920,AUS
1921,AUS
1922,AUS
1923,AUS
1924,AUS
1925,AUS
1926,AUS
1927,AUS
1928,AUS
1929,AUS
1930,AUS
1931,AUS
1932,AUS
1933,AUS
1934,AUS
1935,AUS
1936,AUS
1937,AUS
1938,AUS
1939,AUS
1940,AUS
1941,AUS
1942,AUS
1943,AUS
1944,AUS
1948,AUS
1949,AUS
1950,AUS
1951,AUS
1952,AUS
1953,AUS
1954,AUS
1955,AUS
1956,AUS
1957,AUS
1958,AUS
1959,AUS
1960,AUS
1961,AUS
1962,AUS
1963,AUS
1964,AUS
1965,AUS
1966,AUS
1967,AUS
1968,AUS
1969,AUS
1970,AUS
1971,AUS
1972,AUS
1973,AUS
1974,AUS
1975,AUS
1976,AUS
1977,AUS
1978,AUS
1979,AUS
1980,AUS
1981,AUS
1982,AUS
1983,AUS
1984,AUS
1985,AUS
1986,AUS
1987,AUS
1988,AUS
1989,AUS
1990,AUS
1991,AUS
1992,AUS
1993,AUS
1994,AUS
1995,AUS
1996,AUS
1997,AUS
1998,AUS
1999,AUS
2000,AUS
2001,AUS
2002,AUS
2003,AUS
2004,AUS
2005,AUS
2006,AUS
2007,AUS
2008,AUS
2009,AUS
2010,AUS
2011,AUS
2012,AUS
2013,AUS
2014,AUS
2015,AUS
2016,AUS
2017,AUS
2018,AUS
2019,AUS
2020,AUS
1871,BEL
1872,BEL
1873,BEL
1874,BEL
1875,BEL
1876,BEL
1877,BEL
1878,BEL
1879,BEL
1880,BEL
1881,BEL
1882,BEL
1883,BEL
1884,BEL
1885,BEL
1886,BEL
1887,BEL
1888,BEL
1889,BEL
1890,BEL
1891,BEL
1892,BEL
1893,BEL
1894,BEL
1895,BEL
1896,BEL
1897,BEL
1898,BEL
1899,BEL
1900,BEL
1901,BEL
1902,BEL
1903,BEL
1904,BEL
1905,BEL
1906,BEL
1907,BEL
1908,BEL
1909,BEL
1910,BEL
1911,BEL
1912,BEL
1913,BEL
1920,BEL
1921,BEL
1922,BEL
1923,BEL
1924,BEL
1925,BEL
1926,BEL
1927,BEL
1928,BEL
1929,BEL
1930,BEL
1931,BEL
1932,BEL
1933,BEL
1934,BEL
1935,BEL
1936,BEL
1937,BEL
1938,BEL
1939,BEL
1940,BEL
1941,BEL
1942,BEL
1943,BEL
1944,BEL
1945,BEL
1946,BEL
1947,BEL
1948,BEL
1949,BEL
1950,BEL
1951,BEL
1952,BEL
1953,BEL
1954,BEL
1955,BEL
1956,BEL
1957,BEL
1958,BEL
1959,BEL
1960,BEL
1961,BEL
1962,BEL
1963,BEL
1964,BEL
1965,BEL
1966,BEL
