year,country,iso,ifs,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,xrusd_return,eq_tr_usd,bond_tr_usd,bill_rate_usd,cum_eq_tr_usd
1871,Australia,AUS,193,1675.0,3298.507462686567,13.936864490155884,19.93080127997157,211.56,0.1045791,2.666667,5.260773999999998,34.0,46.0,27.2,59.5,4.6,4.844633,0.4698774948229091,,0.4394170110941921,0.191799,,,0.3691464495849117,53.748,1.766,,,,23.983003616333008,107.03787994384766,30.213655471801758,0,0,1,1,PEG,GBR,-0.41999999,0.11019296944141388,,,0.04600000008940697,,,-0.04545630142092705,,,0.04165362939238548,0.06546638160943985,,,,0.048446331173181534,0.06819329410791397,,,,0.005996254592267121,0.10357564888884974,,0.03976530261869948,0.10357564888884974
1872,Australia,AUS,193,1722.0,3553.4262485482,15.044246890548015,21.085005662643074,227.4,0.130438,2.541667,7.867636000000001,38.0,53.0,36.2,68.5,4.6,4.73735,0.48479424069030297,,0.4524690015227325,0.15492,,,0.36923880927016545,55.821999999999996,1.47,,,,22.445646286010742,94.9095458984375,26.860410690307617,0,0,1,1,PEG,GBR,1.27,0.1767493039369583,,,0.04600000008940697,,,0.03174660727381706,,,0.10894547402858734,0.06299734860658646,,,,0.04737349972128868,0.06986062228679657,,,,0.00025019795086092035,0.17645495731735727,,0.04573835849497487,0.29830704291000654
1873,Australia,AUS,193,1769.0,3823.6291690220464,16.219442672556337,23.254909902065506,266.54,0.1249862,2.541667,-11.0478328,49.0,50.0,38.6,73.7,4.3999999999999995,4.671958,0.4698774948229091,,0.4916249728083535,0.14269199999999999,,,0.3624047757834013,65.38000000000001,1.364,,,,21.00499725341797,101.70809936523438,28.645015716552734,0,0,1,1,PEG,GBR,0.58999997,0.15168581902980804,,,0.04399999976158142,,,-0.030769770964980125,,,0.08308646827936172,0.06448418647050858,,,,0.04671958088874817,0.06984195113182068,,,,-0.01850843767011448,0.1734036880520009,,0.0636871877770524,0.523438272374489
1874,Australia,AUS,193,1822.0,3834.7969264544454,16.26822782171903,23.458049873415693,287.58,0.1419599,2.666667,-5.5639588,49.0,54.0,37.9,79.3,4.5,4.653317,0.5668363429609697,,0.509027626713074,0.19432200000000002,,,0.37222345512135085,71.478,1.434,,,,20.974374771118164,102.079345703125,28.29804801940918,0,0,1,1,PEG,GBR,-1.08,0.19148139655590057,,,0.04500000178813934,,,0.20634974539279938,,,0.11938886344432831,0.0635029599070549,,,,0.04653317108750343,0.07108450680971146,,,,0.02709312899291893,0.16005195918715476,,0.017434517172535857,0.7672675525687203
1875,Australia,AUS,193,1874.0,4138.20704375667,17.59210697327091,25.669505470614297,300.74,0.160564,2.75,-7.908736800000002,50.0,52.0,37.5,88.5,4.6,4.507325,0.5668363429609697,,0.5220796171416143,0.233687,,,0.3609256158331147,79.954,1.564,,,,19.60017967224121,101.90934753417969,28.04974937438965,0,0,1,1,PEG,GBR,-0.50999999,0.12440787255764008,,,0.04600000008940697,,,0.0,,,0.057058729231357574,0.06364297866821289,,,,0.0450732484459877,0.06727436929941177,,,,-0.030352303523035258,0.15960454157006487,,0.07874231423418454,1.0493314801281013
1876,Australia,AUS,193,1929.0,4007.257646448937,17.019033291612903,24.80616059237601,311.26,0.1678778,2.791667,-6.952112800000002,48.0,51.0,38.2,95.8,4.6,4.565908,0.5220861053587879,,0.5351316075701548,0.158506,,,0.3720217079912038,86.206,1.86,,,,18.568849563598633,100.68677520751953,28.12699317932129,0,0,1,1,PEG,GBR,-1.01,0.11881456524133682,,,0.04600000008940697,,,-0.07894700020551682,,,0.0541035495698452,0.06022258102893829,,,,0.045659080147743225,0.06348083913326263,,,,0.030743432084963804,0.08544428265550508,,0.014801518524917956,1.2244351383709913
1877,Australia,AUS,193,1995.0,4036.0902255639094,17.14565200863059,25.217057352607068,313.66,0.2099336,2.875,-14.624798799999997,52.0,51.0,40.2,105.7,4.5,4.38885,0.5220861053587879,,0.5394822710463348,0.17609200000000003,,,0.39991067984815576,101.036,2.42,,,,18.741100311279297,106.30668640136719,24.983030319213867,0,0,1,1,PEG,GBR,0.44999999,0.136591374874115,,,0.04500000178813934,,,0.0,,,0.07444196939468384,0.0573054701089859,,,,0.043888501822948456,0.0615714006125927,,,,0.0749659798282829,0.05732776311272314,,-0.02787621059871148,1.3519570290431409
1878,Australia,AUS,193,2062.0,4277.400581959263,18.205261399884154,26.560551254036703,324.3,0.181141,2.833333,-16.3359228,52.0,50.0,38.7,106.2,4.8,4.4428,0.5892114617620606,,0.5307809440939746,0.172852,,,0.41257288115076557,106.64800000000001,2.754,,,,19.204307556152344,112.3225326538086,27.424211502075195,0,0,1,1,PEG,GBR,0.88999999,-0.0789373591542244,,,0.04800000041723251,,,0.1285707652568817,,,-0.13273651897907257,0.06448046863079071,,,,0.04442799836397171,0.05592155456542969,,,,0.03166257352121126,-0.10720552970913966,,0.015836017817588477,1.0998142298914364
1879,Australia,AUS,193,2127.0,4204.983544898918,17.88724700430495,26.518999896260528,334.44,0.1615086,2.75,-12.3326728,48.0,44.0,37.2,108.3,4.9,4.60335,0.6041282076294545,,0.5351316075701547,0.208934,,,0.4150882566293221,102.726,2.9,,,,19.334449768066406,105.5245132446289,26.23139762878418,0,0,1,1,PEG,GBR,-1.47,0.12413585931062698,,,0.04899999871850014,,,0.025316907092928886,,,0.060070499777793884,0.06041678786277771,,,,0.046033501625061035,0.06404605507850647,,,,0.0060968027552865895,0.11732375675191475,,0.0426432087307298,1.3461723238234287
1880,Australia,AUS,193,2197.0,4285.3891670459725,18.240585086726018,25.6695054706143,344.32,0.1764724,2.666667,0.7857892000000009,46.0,59.0,44.6,114.8,4.7,4.409408,0.5742947158946666,,0.5568849249510552,0.222212,,,0.41252253898543567,94.008,2.996,,,,18.61498260498047,90.80091094970703,28.284059524536133,0,0,1,1,PEG,GBR,0.56,0.11423738300800323,,,0.04699999839067459,,,-0.04938191920518875,,,0.0541498027741909,0.056845761835575104,,,,0.04409407824277878,0.05992394685745239,,,,-0.006181137632562857,0.12116747347067847,,0.05351190044486742,1.6304520966279439
1881,Australia,AUS,193,2269.0,4454.825914499779,18.985418930477568,27.788624717199184,362.82,0.2123455,2.625,-20.8488468,58.0,54.0,57.3,134.0,4.7,3.7815,0.5742947158946666,,0.5612355884272353,0.232202,,,0.415874878239073,115.8,3.834,,,,16.564224243164062,93.84573364257812,27.51081085205078,0,0,1,1,PEG,GBR,0.54000002,0.07269452512264252,,,0.04699999839067459,,,0.0,,,0.02000194601714611,0.05190045014023781,,,,0.03781500086188316,0.052938561886548996,,,,0.00812643901078014,0.06404760713866375,,0.03856020224808221,1.798926259109845
