Year,Country,Percentage
1870,US,0.0647887323943662
1871,US,0.07183098591549296
1872,US,0.0772300469483568
1873,US,0.08204225352112676
1874,US,0.08690140845070422
1875,US,0.09830985915492957
1876,US,0.1060093896713615
1877,US,0.11107981220657277
1879,US,0.1155868544600939
1880,US,0.1212206572769953
1881,US,0.12586854460093896
1882,US,0.1303755868544601
1883,US,0.1336150234741784
1884,US,0.13530516431924883
1885,US,0.1360093896713615
1886,US,0.13572769953051642
1887,US,0.1372300469483568
1888,US,0.1403286384976526
1889,US,0.14455399061032864
1891,US,0.14906103286384975
1892,US,0.15173708920187795
1893,US,0.15136150234741783
1894,US,0.15558685446009388
1895,US,0.15896713615023475
1896,US,0.15938967136150234
1897,US,0.16093896713615025
1898,US,0.1676056338028169
1899,US,0.1715492957746479
1900,US,0.1776056338028169
1901,US,0.18901408450704227
1903,US,0.2056338028169014
1904,US,0.2202816901408451
1905,US,0.2345539906103286
1906,US,0.24187793427230048
1907,US,0.23877934272300466
1908,US,0.23258215962441314
1909,US,0.23314553990610326
1910,US,0.23112676056338027
1911,US,0.23347417840375587
1912,US,0.24107981220657276
1913,US,0.23460093896713613
1915,US,0.23769953051643194
1916,US,0.23981220657276997
1917,US,0.23868544600938968
1918,US,0.23868544600938968
1919,US,0.2605164319248826
1920,US,0.2724882629107982
1921,US,0.2862910798122066
1922,US,0.30582159624413147
1923,US,0.3292018779342723
1924,US,0.343849765258216
1925,US,0.3549765258215962
1927,US,0.374131455399061
1928,US,0.39985915492957746
1929,US,0.4159154929577465
1930,US,0.4252112676056338
1931,US,0.42366197183098586
1932,US,0.4074647887323944
1933,US,0.3756338028169014
1934,US,0.3480281690140845
1935,US,0.3257746478873239
1936,US,0.3129577464788732
1937,US,0.29183098591549295
1939,US,0.30704225352112674
1940,US,0.31906103286384974
1941,US,0.32737089201877934
1942,US,0.3375117370892019
1943,US,0.36582159624413146
1944,US,0.3684976525821596
1945,US,0.3850704225352113
1946,US,0.4128638497652582
1947,US,0.43934272300469485
1948,US,0.46300469483568074
1949,US,0.48835680751173705
1951,US,0.4870892018779343
1952,US,0.5051173708920189
1953,US,0.5173708920187794
1954,US,0.5311737089201878
1955,US,0.5397652582159624
1956,US,0.5634272300469484
1957,US,0.556338028169014
1958,US,0.5561971830985916
1959,US,0.5511267605633803
1960,US,0.5430985915492957
1961,US,0.54056338028169
1963,US,0.5388262910798123
1964,US,0.5369953051643193
1965,US,0.5405164319248826
1966,US,0.5499530516431925
1967,US,0.5596713615023474
1968,US,0.5711267605633803
1969,US,0.575774647887324
1970,US,0.5795774647887324
1971,US,0.5798591549295774
1972,US,0.5711267605633803
1973,US,0.5529577464788733
1975,US,0.5368075117370892
1976,US,0.5269483568075117
1977,US,0.5093427230046949
1978,US,0.48976525821596245
1979,US,0.48272300469483564
1980,US,0.48267605633802824
1981,US,0.4755399061032864
1982,US,0.47807511737089203
1983,US,0.4923004694835681
1984,US,0.4963849765258216
1985,US,0.4624413145539906
1987,US,0.42056338028169016
1988,US,0.37478873239436616
1989,US,0.32492957746478873
1990,US,0.2850704225352113
1991,US,0.2876056338028169
1992,US,0.3056338028169014
1993,US,0.3254460093896714
1994,US,0.341924882629108
1995,US,0.3575586854460094
1996,US,0.37389671361502347
1997,US,0.39136150234741784
1999,US,0.41239436619718306
2000,US,0.4364788732394366
2001,US,0.46183098591549293
2002,US,0.4729577464788732
2003,US,0.4711267605633803
2004,US,0.4636150234741784
2005,US,0.45037558685446005
2006,US,0.4217840375586854
2007,US,0.39093896713615023
2008,US,0.3671361502347418
2009,US,0.33098591549295775
2011,US,0.3009859154929578
2012,US,0.3063380281690141
2013,US,0.3201408450704225
2014,US,0.33380281690140845
2015,US,0.3628169014084507
2016,US,0.3924882629107981
2017,US,0.3996713615023474
2018,US,0.40572769953051646
2019,US,0.41136150234741786
2020,US,0.4168544600938967
2021,US,0.4235211267605634
1870,UK,0.36713615023474183
1871,UK,0.3684272300469484
1872,UK,0.37425665101721445
1873,UK,0.3817488262910798
1874,UK,0.3879342723004695
1875,UK,0.3976056338028169
1876,UK,0.4066666666666666
1877,UK,0.41258215962441314
1879,UK,0.4121596244131456
1880,UK,0.4092018779342723
1881,UK,0.40413145539906103
1882,UK,0.39830985915492956
1883,UK,0.39
1884,UK,0.38422535211267606
1885,UK,0.3812676056338028
1886,UK,0.3795774647887324
1887,UK,0.37638497652582165
1888,UK,0.37497652582159624
1889,UK,0.37356807511737095
1891,UK,0.3704694835680752
1892,UK,0.3663849765258216
1893,UK,0.3624413145539906
1894,UK,0.35652582159624413
1895,UK,0.35075117370892017
1896,UK,0.34511737089201877
1897,UK,0.339906103286385
1898,UK,0.33492957746478874
1899,UK,0.3296244131455399
1900,UK,0.3253990610328638
1901,UK,0.3224413145539906
1903,UK,0.3206103286384977
1904,UK,0.32173708920187793
1905,UK,0.3264319248826291
1906,UK,0.33009389671361505
1907,UK,0.33079812206572773
1908,UK,0.3347417840375587
1909,UK,0.3417840375586854
1910,UK,0.3470422535211268
1911,UK,0.3524413145539906
1912,UK,0.35934272300469483
1913,UK,0.3437089201877934
1915,UK,0.338075117370892
1916,UK,0.33061032863849765
1917,UK,0.3244131455399061
1918,UK,0.3179342723004695
1919,UK,0.3287793427230047
1920,UK,0.3242723004694835
1921,UK,0.3213145539906103
1922,UK,0.3181220657276995
1923,UK,0.31671361502347417
1924,UK,0.31699530516431923
1925,UK,0.31615023474178405
1927,UK,0.3013615023474178
1928,UK,0.2833333333333333
1929,UK,0.2595305164319249
1930,UK,0.231924882629108
1931,UK,0.2071361502347418
1932,UK,0.19896713615023476
1933,UK,0.19661971830985916
1934,UK,0.20347417840375587
1935,UK,0.220093896713615
1936,UK,0.24065727699530517
1937,UK,0.24699530516431922
1939,UK,0.2586854460093897
1940,UK,0.2631924882629108
1941,UK,0.25727699530516435
1942,UK,0.24643192488262908
1943,UK,0.24784037558685448
1944,UK,0.23784037558685447
1945,UK,0.22464788732394364
1946,UK,0.2131455399061033
1947,UK,0.20145539906103288
1948,UK,0.18807511737089203
1949,UK,0.17046948356807512
1951,UK,0.14793427230046946
1952,UK,0.13215962441314555
1953,UK,0.11694835680751173
1954,UK,0.10089201877934273
1955,UK,0.09272300469483569
1956,UK,0.09497652582159624
1957,UK,0.09380281690140845
1958,UK,0.08985915492957747
1959,UK,0.09
1960,UK,0.09140845070422535
1961,UK,0.09464788732394366
1963,UK,0.09694835680751174
1964,UK,0.1011737089201878
1965,UK,0.10089201877934273
1966,UK,0.09342723004694836
1967,UK,0.07934272300469483
1968,UK,0.06816901408450704
1969,UK,0.060375586854460095
1970,UK,0.05586854460093897
1971,UK,0.055305164319248826
1972,UK,0.05910798122065728
1973,UK,0.056995305164319256
1975,UK,0.05061032863849765
1976,UK,0.04497652582159624
1977,UK,0.041877934272300466
1978,UK,0.04046948356807512
1979,UK,0.043849765258215954
1980,UK,0.049577464788732394
1981,UK,0.054460093896713614
1982,UK,0.05741784037558686
1983,UK,0.05826291079812207
1984,UK,0.05812206572769953
1985,UK,0.05431924882629108
1987,UK,0.05582159624413145
1988,UK,0.05737089201877934
1989,UK,0.05793427230046948
1990,UK,0.06018779342723004
1991,UK,0.06751173708920188
1992,UK,0.07014084507042254
1993,UK,0.07267605633802818
1994,UK,0.07577464788732394
1995,UK,0.07563380281690142
1996,UK,0.07380281690140847
1997,UK,0.073943661971831
1999,UK,0.0731924882629108
2000,UK,0.07248826291079813
2001,UK,0.0727699530516432
2002,UK,0.07206572769953051
2003,UK,0.06896713615023474
2004,UK,0.06727699530516432
2005,UK,0.0660093896713615
2006,UK,0.06431924882629107
2007,UK,0.06276995305164319
2008,UK,0.060375586854460095
2009,UK,0.055352112676056345
2011,UK,0.0528169014084507
2012,UK,0.05309859154929577
2013,UK,0.05169014084507042
2014,UK,0.04915492957746479
2015,UK,0.049014084507042255
2016,UK,0.04586854460093896
2017,UK,0.040657276995305164
2018,UK,0.03727699530516432
2019,UK,0.03544600938967136
2020,UK,0.031784037558685446
2021,UK,0.02830985915492958
1870,DE,0.10328638497652581
1871,DE,0.10481220657276995
1872,DE,0.0985133020344288
1873,DE,0.09289906103286384
1874,DE,0.08896713615023474
1875,DE,0.0847887323943662
1876,DE,0.0804225352112676
1877,DE,0.08056338028169015
1879,DE,0.07816901408450705
1880,DE,0.07619718309859155
1881,DE,0.07126760563380281
1882,DE,0.06582159624413145
1883,DE,0.060328638497652576
1884,DE,0.06258215962441313
1885,DE,0.06525821596244132
1886,DE,0.07145539906103286
1887,DE,0.07953051643192488
