Age,NZ Cash Fund,SuperLife Income Fund,SuperLife High Growth Fund
<18,-,-,100.0
18,-,-,100.0
19,-,2.0,98.0
20,-,4.0,96.0
21,-,6.0,94.0
22,-,8.0,92.0
23,-,10.0,90.0
24,-,12.0,88.0
25,-,14.0,86.0
26,-,16.0,84.0
27,-,18.0,82.0
28,-,20.0,80.0
29,-,20.0,80.0
30,-,20.0,80.0
31,-,20.0,80.0
32,-,20.0,80.0
33,-,20.0,80.0
34,-,20.0,80.0
35,-,20.0,80.0
36,-,20.0,80.0
37,-,20.0,80.0
38,-,20.0,80.0
39,-,20.0,80.0
40,-,20.0,80.0
41,-,20.0,80.0
42,-,20.0,80.0
43,-,20.0,80.0
44,-,20.0,80.0
45,-,20.0,80.0
46,-,21.0,79.0
47,-,22.0,78.0
48,-,23.0,77.0
49,-,24.0,76.0
50,-,25.0,75.0
51,-,27.0,73.0
52,-,29.0,71.0
53,-,31.0,69.0
54,-,33.0,67.0
55,-,35.0,65.0
56,-,36.0,64.0
57,-,38.0,62.0
58,-,39.0,61.0
59,-,41.0,59.0
60,-,42.0,58.0
61,-,44.0,56.0
62,-,46.0,54.0
63,-,47.0,53.0
64,-,48.0,52.0
65,-,50.0,50.0
66,-,52.0,48.0
67,-,54.0,46.0
68,-,56.0,44.0
69,-,58.0,42.0
70,-,60.0,40.0
71,-,62.0,38.0
72,-,64.0,36.0
73,-,66.0,34.0
74,-,68.0,32.0
75,-,70.0,30.0
76,-,74.0,26.0
77,-,78.0,22.0
78,-,82.0,18.0
79,-,86.0,14.0
80,-,90.0,10.0
81,-,92.0,8.0
82,-,94.0,6.0
83,-,96.0,4.0
84,-,98.0,2.0
85,5.0,95.0,-
86,10.0,90.0,-
87,15.0,85.0,-
88,20.0,80.0,-
89,25.0,75.0,-
90,32.0,68.0,-
91,46.0,54.0,-
92,60.0,40.0,-
93,73.0,27.0,-
94,87.0,13.0,-
95,100.0,-,-
96,100.0,-,-
97,100.0,-,-
98,100.0,-,-
99,100.0,-,-
100,100.0,-,-
